employee_id,full_name,gender,dept_id,job_level,city,employment_type,hire_date,termination_date,status,monthly_salary_idr,satisfaction_score,last_performance_score,manager_id
1001,"Balidin Dongoran, S.T.",Male,9,Junior,Bandung,Permanent,2015-04-13,,Active,16680000,4.2,3.2,5095
1002,Darmana Mandala,Male,7,Mid,Medan,Permanent,2022-08-03,,Active,16330000,3.2,3.4,3090
1003,"Ciaobella Wastuti, M.Pd",Female,2,Mid,Bandung,Permanent,2015-05-11,2018-04-20,Resigned,25570000,4.5,4.0,3357
1004,Lantar Anggraini,Male,7,Mid,Yogyakarta,Permanent,2021-04-17,2024-11-03,Resigned,14590000,2.5,3.6,2039
1005,Among Iswahyudi,Female,5,Senior,Bandung,Permanent,2024-01-29,,Active,30100000,4.9,3.8,2689
1006,Daruna Mayasari,Female,2,Junior,Surabaya,Permanent,2018-02-12,,Active,20600000,4.3,4.0,2786
1007,Cut Putri Napitupulu,Female,3,Junior,Surabaya,Permanent,2016-02-01,,Active,19990000,2.6,4.1,1825
1008,"Sadina Palastri, S.Farm",Male,7,Junior,Jakarta,Probation,2023-03-08,,Active,12020000,3.1,3.7,2905
1009,Ikin Rahmawati,Female,6,Mid,Remote,Permanent,2015-11-19,,Active,19610000,3.8,3.6,1724
1010,Yessi Ardianto,Female,8,Lead,Jakarta,Permanent,2021-06-22,,Active,44500000,3.2,3.9,5008
1011,"KH. Capa Anggraini, S.Psi",Male,2,Mid,Jakarta,Contract,2023-09-02,,Active,27250000,3.8,3.5,3625
1012,Eva Pratama,Male,6,Mid,Remote,Contract,2019-04-06,,Active,20570000,5.0,3.6,5382
1013,"Tgk. Baktiono Iswahyudi, S.Sos",Male,5,Junior,Remote,Permanent,2019-02-25,,Active,15600000,3.3,3.0,2579
1014,Gatot Situmorang,Male,4,Mid,Medan,Permanent,2021-10-31,,Active,23260000,3.0,3.6,5248
1015,Tgk. Yani Gunawan,Male,9,Mid,Remote,Permanent,2020-03-08,,Active,18010000,3.1,3.6,1784
1016,"Michelle Nasyiah, S.IP",Male,1,Lead,Jakarta,Permanent,2022-09-05,,Active,53190000,3.9,1.8,4223
1017,Cindy Puspasari,Male,7,Lead,Surabaya,Permanent,2024-01-11,,Active,30890000,2.6,3.7,2112
1018,Yance Utami,Female,9,Mid,Yogyakarta,Contract,2017-05-20,,Active,22610000,4.6,2.9,3288
1019,dr. Ratih Nababan,Female,5,Senior,Bandung,Permanent,2016-08-08,,Active,35670000,5.0,3.9,3224
1020,"Betania Gunawan, S.H.",Female,1,Head,Medan,Permanent,2023-05-18,,Active,91010000,2.5,3.5,
1021,"T. Bahuwirya Pradipta, S.IP",Male,2,Mid,Jakarta,Permanent,2016-07-20,,Active,31250000,2.4,3.5,2602
1022,Indah Hasanah,Male,9,Junior,Remote,Permanent,2016-09-18,,Active,14960000,5.0,3.5,2600
1023,"Rafid Utama, S.E.",Male,3,Mid,Yogyakarta,Permanent,2019-04-26,,Active,30890000,3.5,2.9,5409
1024,Kamila Pranowo,Male,5,Senior,Remote,Contract,2022-08-18,,Active,26570000,2.5,3.6,2921
1025,"Emas Zulaika, S.Pt",Female,10,Senior,Jakarta,Permanent,2023-08-15,,Active,24570000,3.0,2.2,2873
1026,Hj. Ella Nasyidah,Male,6,Mid,Remote,Permanent,2020-02-02,2024-08-17,Resigned,21450000,3.2,3.4,3850
1027,"Hesti Marpaung, M.M.",Male,5,Intern,Remote,Permanent,2020-09-10,,Active,8940000,2.1,4.0,2636
1028,Humaira Uyainah,Male,7,Senior,Bandung,Permanent,2016-09-18,,Active,21770000,4.6,3.4,4053
1029,"Puti Prasetya, S.Psi",Male,1,Junior,Jakarta,Probation,2021-09-19,2022-04-06,Resigned,18590000,1.6,2.9,1548
1030,"Cut Ghaliyati Firmansyah, S.Psi",Female,3,Lead,Jakarta,Permanent,2017-09-07,2024-07-15,Resigned,61960000,2.4,3.3,3069
1031,Hasna Haryanto,Female,2,Senior,Bandung,Permanent,2024-02-25,2024-09-24,Resigned,43350000,3.2,3.6,1565
1032,Vino Purnawati,Male,2,Mid,Medan,Permanent,2017-12-21,,Active,27900000,3.2,4.3,2468
1033,"Iriana Prabowo, M.Kom.",Male,1,Mid,Remote,Permanent,2021-01-17,,Active,30130000,5.0,3.8,4372
1034,Syahrini Haryanti,Female,5,Mid,Remote,Permanent,2019-06-23,,Active,23590000,4.9,2.6,3790
1035,Eman Mandala,Female,7,Lead,Jakarta,Permanent,2016-05-10,,Active,33680000,3.1,3.4,4530
1036,Panca Purwanti,Male,8,Lead,Jakarta,Permanent,2021-08-07,,Active,40670000,3.5,3.1,4844
1037,T. Pangeran Padmasari,Male,10,Junior,Surabaya,Permanent,2017-07-26,2018-05-30,Resigned,13200000,2.4,3.6,2791
1038,Restu Wacana,Male,8,Mid,Bandung,Permanent,2018-02-14,,Active,25620000,1.6,3.4,3129
1039,Gawati Mandala,Female,2,Manager,Yogyakarta,Permanent,2017-09-22,,Active,69440000,5.0,2.9,3603
1040,drg. Bakijan Hardiansyah,Male,2,Senior,Yogyakarta,Permanent,2022-05-23,,Active,39430000,5.0,3.8,3490
1041,"Puti Eva Utami, S.E.",Male,3,Senior,Remote,Permanent,2022-07-21,,Active,39340000,3.8,2.5,2654
1042,"Ir. Indra Riyanti, S.Pt",Female,6,Junior,Jakarta,Permanent,2023-03-02,,Active,12190000,3.4,4.5,1633
1043,Kezia Riyanti,Male,4,Mid,Yogyakarta,Permanent,2021-01-05,,Active,25190000,4.2,3.9,5241
1044,Paris Ramadan,Female,10,Mid,Jakarta,Permanent,2017-10-20,,Active,19130000,2.1,3.9,2838
1045,Dt. Maman Latupono,Male,1,Junior,Medan,Contract,2015-07-27,,Active,22060000,3.2,2.9,1529
1046,"Timbul Nasyiah, S.T.",Male,8,Junior,Bandung,Permanent,2023-06-14,,Active,16960000,2.6,4.6,3568
1047,"Ir. Ganep Kusumo, S.Pd",Female,10,Senior,Jakarta,Permanent,2017-05-25,,Active,24480000,4.0,2.6,2218
1048,Endah Hasanah,Male,10,Manager,Yogyakarta,Permanent,2019-05-19,,Active,48480000,3.8,2.7,2147
1049,Xanana Saptono,Female,7,Mid,Bandung,Probation,2016-09-26,,Active,17080000,3.6,3.7,5432
1050,KH. Cemani Mayasari,Male,4,Mid,Jakarta,Permanent,2023-05-22,,Active,23190000,3.0,3.0,4345
1051,Tedi Utami,Male,6,Junior,Jakarta,Contract,2015-08-21,,Active,15540000,3.3,4.4,2019
1052,Zaenab Uyainah,Male,8,Mid,Bandung,Permanent,2021-09-03,,Active,22100000,4.7,3.2,2519
1053,Drs. Dalimin Mangunsong,Male,1,Mid,Medan,Permanent,2021-06-29,,Active,27700000,3.7,3.8,2587
1054,Vanesa Marpaung,Female,5,Senior,Remote,Permanent,2017-12-04,,Active,37190000,4.6,3.4,2684
1055,KH. Virman Nuraini,Female,3,Mid,Surabaya,Permanent,2019-06-10,2023-07-20,Resigned,29410000,3.5,2.7,2344
1056,Liman Sinaga,Male,6,Junior,Medan,Probation,2015-02-08,,Active,16280000,2.9,3.1,4292
1057,Anita Kusumo,Male,9,Junior,Bandung,Probation,2021-01-11,2023-01-04,Resigned,12180000,2.7,3.5,1400
1058,Yance Samosir,Male,7,Senior,Surabaya,Permanent,2024-11-10,,Active,20240000,2.8,3.1,4464
1059,Asmianto Permadi,Female,10,Junior,Remote,Permanent,2021-11-10,,Active,12210000,3.0,3.8,2219
1060,Puti Chelsea Laksita,Female,7,Mid,Surabaya,Permanent,2022-06-10,2023-04-23,Resigned,16510000,3.1,2.7,1428
1061,"Puti Vanya Nasyidah, S.E.I",Male,8,Mid,Surabaya,Permanent,2023-04-29,,Active,21770000,2.9,4.6,3972
1062,Maryanto Kusmawati,Male,9,Mid,Remote,Permanent,2023-01-18,,Active,19440000,3.6,3.6,1746
1063,R.M. Eman Nuraini,Female,10,Junior,Jakarta,Permanent,2020-09-01,,Active,12120000,2.9,3.7,2260
1064,"Ir. Lintang Prabowo, M.Pd",Female,1,Junior,Jakarta,Permanent,2024-04-20,,Active,19770000,4.0,2.8,2773
1065,"H. Muhammad Pangestu, S.Pd",Male,5,Manager,Bandung,Permanent,2022-02-22,,Active,46800000,4.1,3.7,4164
1066,Salsabila Yulianti,Female,2,Junior,Remote,Contract,2021-04-16,2022-03-16,Resigned,22070000,2.9,3.2,4777
1067,Maida Maryati,Male,10,Senior,Medan,Permanent,2024-05-11,,Active,22110000,5.0,2.3,1603
1068,Devi Prayoga,Male,3,Head,Jakarta,Contract,2015-06-21,,Active,92860000,3.2,2.6,
1069,Atma Sirait,Male,2,Senior,Jakarta,Permanent,2022-08-25,,Active,40920000,4.0,3.1,2899
1070,Lanjar Puspasari,Female,7,Mid,Bandung,Contract,2021-12-17,,Active,14960000,2.1,3.3,2736
1071,Lanjar Prasetya,Male,3,Junior,Bandung,Permanent,2024-11-19,,Active,15470000,4.3,4.4,2344
1072,Bagus Usamah,Female,3,Mid,Remote,Contract,2023-10-10,,Active,25650000,4.4,4.0,3081
1073,Dartono Hidayat,Male,9,Junior,Yogyakarta,Contract,2017-12-28,2019-09-11,Resigned,11640000,3.7,5.0,2756
1074,Satya Sitompul,Female,3,Senior,Yogyakarta,Permanent,2017-06-30,,Active,41120000,3.9,4.8,5171
1075,Kamidin Prakasa,Male,1,Lead,Yogyakarta,Permanent,2017-07-02,2020-02-28,Resigned,64580000,2.9,2.9,1471
