employee_id,full_name,gender,dept_id,job_level,city,employment_type,hire_date,termination_date,status,monthly_salary_idr,satisfaction_score,last_performance_score,manager_id
1001,"Balidin Dongoran, S.T.",L,9,Junior,Bandung,Permanent,2015-04-13,,active,16680000,4.2,3.2,5095
1002,Darmana Mandala,Male,7,Mid,Medan,Permanent,2022-08-03,,ACTIVE,16330000,3.2,3.4,3090
1003,"Ciaobella Wastuti, M.Pd",P,2,Mid,Bandung,Permanent,2015-05-11,2018-04-20,Resigned,25570000,4.5,4.0,3357
1004,Lantar Anggraini,Male,7,Mid,Yogyakarta,Permanent,04/17/2021,2024-11-03,resigned,14590000,2.5,3.6,2039
1005,Among Iswahyudi,female,5,Senior,Bandung,Permanent,01/29/2024,,Active,Rp30.100.000,4.9,3.8,2689
1006,Daruna Mayasari,,2,Junior,,Permanent,12-02-2018,,active,20600000,4.3,4.0,2786
1007,CUT PUTRI NAPITUPULU,P,3,Junior,Surabaya,Permanent,2016-02-01,,Active,19990000,2.6,4.1,1825
1008,"Sadina Palastri, S.Farm",L,7,Junior,Jakarta,Probation,2023-03-08,,ACTIVE,12020000,,3.7,2905
1009,ikin rahmawati,Female,6,Mid,Remote,Permanent,2015-11-19,,ACTIVE,19610000,3.8,3.6,1724
1010,Yessi Ardianto,Female,8,Lead,Jakarta,Permanent,22-06-2021,,active,44500000,3.2,3.9,5008
1011,"KH.  Capa  Anggraini,  S.Psi",male,2,Mid,Jakarta,Contract,2023-09-02,,ACTIVE,Rp27.250.000,3.8,3.5,3625
1012,Eva Pratama,male,6,Mid,Remote,Contract,06/04/2019,,active,20570000,5.0,3.6,5382
1013,"Tgk. Baktiono Iswahyudi, S.Sos",M,5,Junior,Remote,Permanent,25-02-2019,,active,15600000,3.3,3.0,2579
1014,GATOT SITUMORANG,Male,4,Mid,Medan,Permanent,31-10-2021,,Active,23260000,,3.6,5248
1015,Tgk. Yani Gunawan,male,9,Mid,Remote,Permanent,2020-03-08,,ACTIVE,18010000,3.1,3.6,1784
1016,"michelle nasyiah, s.ip",M,1,Lead,Jakarta,Permanent,2022-09-05,,ACTIVE,53190000,3.9,1.8,4223
1017,Cindy Puspasari,male,7,Lead,Surabaya,,11/01/2024,,ACTIVE,30890000,2.6,3.7,2112
1018,YANCE UTAMI,female,9,Mid,Yogyakarta,Contract,2017-05-20,,active,22610000,4.6,2.9,3288
1019,dr. ratih nababan,Female,5,Senior,Bandung,Permanent,2016-08-08,,ACTIVE,35670000,5.0,3.9,3224
1020,"BETANIA GUNAWAN, S.H.",P,1,Head,Medan,Permanent,18-05-2023,,ACTIVE,91010000,2.5,3.5,
1021,"  T. Bahuwirya Pradipta, S.IP ",Male,2,Mid,,Permanent,20/07/2016,,active,31250000,2.4,3.5,2602
1022,Indah Hasanah,male,9,Junior,Remote,Permanent,18/09/2016,,Active,14960000,5.0,3.5,2600
1023,"  Rafid Utama, S.E. ",Male,3,Mid,Yogyakarta,Permanent,2019-04-26,,Active,30890000,3.5,2.9,5409
1024,kamila pranowo,M,5,Senior,Remote,Contract,18/08/2022,,ACTIVE,26570000,2.5,3.6,2921
1025,"EMAS ZULAIKA, S.PT",P,10,Senior,Jakarta,Permanent,2023-08-15,,active,24570000,3.0,2.2,2873
1026,  Hj. Ella Nasyidah ,M,6,Mid,,Permanent,2020-02-02,2024-08-17,Resigned,21450000,3.2,3.4,3850
1027,"Hesti Marpaung, M.M.",L,5,Intern,Remote,Permanent,10-09-2020,,Active,8940000,2.1,4.0,2636
1028,Humaira Uyainah,M,7,Senior,Bandung,Permanent,18/09/2016,,active,21770000,4.6,3.4,4053
1029,"Puti Prasetya, S.Psi",M,1,Junior,Jakarta,Probation,2021-09-19,2022-04-06,Resigned,18590000,1.6,2.9,1548
1030,"Cut Ghaliyati Firmansyah, S.Psi",female,3,Lead,Jakarta,Permanent,09/07/2017,2024-07-15,RESIGNED,61960000,2.4,3.3,3069
1031,hasna haryanto,female,2,Senior,,Permanent,2024-02-25,2024-09-24,resigned,43350000,3.2,3.6,1565
1032,VINO PURNAWATI,male,2,Mid,Medan,Permanent,2017-12-21,,ACTIVE,27900000,3.2,4.3,2468
1033,"Iriana Prabowo, M.Kom.",L,1,Mid,Remote,Permanent,01/17/2021,,ACTIVE,30130000,5.0,3.8,4372
1034,SYAHRINI HARYANTI,female,5,Mid,Remote,Permanent,23/06/2019,,ACTIVE,23590000,,2.6,3790
1035,Eman Mandala,Female,7,Lead,Jakarta,Permanent,2016-05-10,,active,33680000,3.1,3.4,4530
1036,Panca Purwanti,male,8,Lead,,Permanent,07/08/2021,,ACTIVE,40670000,,3.1,4844
1037,t. pangeran padmasari,male,10,Junior,Surabaya,Permanent,26-07-2017,2018-05-30,RESIGNED,13200000,2.4,3.6,2791
1038,RESTU WACANA,Male,8,Mid,Bandung,Permanent,2018-02-14,,active,25620000,,3.4,3129
1039,Gawati Mandala,Female,2,Manager,Yogyakarta,Permanent,2017-09-22,,active,69440000,5.0,2.9,3603
1040,drg. Bakijan Hardiansyah,L,2,Senior,Yogyakarta,Permanent,23/05/2022,,ACTIVE,39430000,5.0,3.8,3490
1041,"Puti Eva Utami, S.E.",L,3,Senior,Remote,Permanent,07/21/2022,,Active,39340000,3.8,2.5,2654
1042,"Ir. Indra Riyanti, S.Pt",Female,6,Junior,Jakarta,Permanent,02/03/2023,,Active,12190000,3.4,4.5,1633
1043,Kezia Riyanti,M,4,Mid,Yogyakarta,Permanent,2021-01-05,,ACTIVE,25190000,4.2,3.9,5241
1044,paris ramadan,P,10,Mid,Jakarta,Permanent,20/10/2017,,Active,Rp19.130.000,2.1,3.9,2838
1045,dt. maman latupono,M,1,Junior,Medan,Contract,27/07/2015,,active,22060000,3.2,2.9,1529
1046,"Timbul Nasyiah, S.T.",male,8,Junior,,Permanent,14-06-2023,,Active,16960000,2.6,4.6,3568
1047,"Ir. Ganep Kusumo, S.Pd",Female,10,Senior,Jakarta,Permanent,25/05/2017,,active,24480000,4.0,2.6,2218
1048,endah hasanah,Male,10,Manager,Yogyakarta,Permanent,19/05/2019,,Active,48480000,,2.7,2147
1049,Xanana Saptono,P,7,Mid,Bandung,Probation,2016-09-26,,ACTIVE,17080000,3.6,3.7,5432
1050,KH. Cemani Mayasari,Male,4,Mid,Jakarta,Permanent,2023-05-22,,Active,23190000,3.0,3.0,4345
1051,Tedi Utami,L,6,Junior,Jakarta,Contract,21/08/2015,,ACTIVE,Rp15.540.000,3.3,4.4,2019
1052,  Zaenab Uyainah ,M,8,Mid,Bandung,Permanent,2021-09-03,,Active,22100000,4.7,3.2,2519
1053,DRS. DALIMIN MANGUNSONG,Male,1,Mid,Medan,Permanent,2021-06-29,,active,27700000,3.7,3.8,2587
1054,  Vanesa Marpaung ,F,5,Senior,Remote,Permanent,12/04/2017,,ACTIVE,37190000,4.6,3.4,2684
